Index	Dataset	ID	Keywords	Question	Skip	Generated query ID	Query tree height	Query tree max width	Result	True positives	False positives	False negatives	Precision	Recall	Time
local_english_dbpedia_syn	qald-7-train-multilingual.json	0	Battle of Gettysburg,date	When was the Battle of Gettysburg?	no	c0_q0	2	1	Correct answer	1	0	0	1,0000	1,0000	194616,80
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q0	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q1	2	1	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q2	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q3	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q4	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q5	2	1	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q6	2	1	Correct answer	4	0	0	1,0000	1,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q7	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q8	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q9	2	1	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q10	2	1	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q11	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q12	2	1	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	1	musicals, music by, Elton John	List all the musicals with music by Elton John.	no	c1_q13	2	2	No answer	0	0	4	NaN	0,0000	1239727,63
local_english_dbpedia_syn	qald-7-train-multilingual.json	2	height, Columbus Lighthouse	How high is the lighthouse in Colombo?	no	c2_q0	2	1	No answer	0	0	1	NaN	0,0000	6167,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	2	height, Columbus Lighthouse	How high is the lighthouse in Colombo?	no	c2_q1	2	1	No answer	0	0	1	NaN	0,0000	6167,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	2	height, Columbus Lighthouse	How high is the lighthouse in Colombo?	no	c2_q2	2	1	No answer	0	0	1	NaN	0,0000	6167,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	2	height, Columbus Lighthouse	How high is the lighthouse in Colombo?	no	c2_q3	2	1	No answer	0	0	1	NaN	0,0000	6167,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	3	Lincoln,spouse	Who was the wife of U.S. president Lincoln?	no	c3_q0	2	1	No answer	0	0	1	NaN	0,0000	1405,80
local_english_dbpedia_syn	qald-7-train-multilingual.json	3	Lincoln,spouse	Who was the wife of U.S. president Lincoln?	no	c3_q1	2	1	Correct answer	1	0	0	1,0000	1,0000	1405,80
local_english_dbpedia_syn	qald-7-train-multilingual.json	4	host, BBC Wildlife Specials	Who is the host of the BBC Wildlife Specials?	no	c4_q0	2	1	No answer	0	0	1	NaN	0,0000	2940,00
local_english_dbpedia_syn	qald-7-train-multilingual.json	5	budget, Pulp Fiction	How much did Pulp Fiction cost?	no	c5_q0	2	1	Correct answer	1	0	0	1,0000	1,0000	2551,80
local_english_dbpedia_syn	qald-7-train-multilingual.json	6	city, Heineken brewery	In what city is the Heineken brewery?	no	-			No answer	0	0	1	NaN	0,0000	11312,80
local_english_dbpedia_syn	qald-7-train-multilingual.json	7	Operation Overlord,date	When did Operation Overlord commence?	no	c7_q0	2	1	Imprecise answer	1	8667	0	0,0001	1,0000	5,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	8	Chile Route 68, route end	In which city does the Chile Route 68 end?	no	c8_q0	2	1	No answer	0	0	1	NaN	0,0000	2719,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	8	Chile Route 68, route end	In which city does the Chile Route 68 end?	no	c8_q1	2	1	No answer	0	0	1	NaN	0,0000	2719,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	9	developer, Slack software	Who developed Slack?	no	c9_q0	2	1	No answer	0	0	1	NaN	0,0000	12134,20
local_english_dbpedia_syn	qald-7-train-multilingual.json	9	developer, Slack software	Who developed Slack?	no	c9_q1	2	1	Correct answer	1	0	0	1,0000	1,0000	12134,20
local_english_dbpedia_syn	qald-7-train-multilingual.json	9	developer, Slack software	Who developed Slack?	no	c9_q2	2	1	No answer	0	0	1	NaN	0,0000	12134,20
local_english_dbpedia_syn	qald-7-train-multilingual.json	9	developer, Slack software	Who developed Slack?	no	c9_q3	2	1	No answer	0	0	1	NaN	0,0000	12134,20
local_english_dbpedia_syn	qald-7-train-multilingual.json	9	developer, Slack software	Who developed Slack?	no	c9_q4	2	1	No answer	0	0	1	NaN	0,0000	12134,20
local_english_dbpedia_syn	qald-7-train-multilingual.json	10	president Chirac, spouse	Who was married to president Chirac?	no	c10_q0	2	1	Wrong answer	0	183	1	0,0000	0,0000	1075,00
local_english_dbpedia_syn	qald-7-train-multilingual.json	10	president Chirac, spouse	Who was married to president Chirac?	no	c10_q1	2	1	Wrong answer	0	1	1	0,0000	0,0000	1075,00
local_english_dbpedia_syn	qald-7-train-multilingual.json	11	Bruce Carver, death cause	What did Bruce Carver die from?	no	c11_q0	2	1	Correct answer	1	0	0	1,0000	1,0000	2926,20
local_english_dbpedia_syn	qald-7-train-multilingual.json	12	The Storm on the Sea of Galilee, author	Who painted The Storm on the Sea of Galilee?	yes
local_english_dbpedia_syn	qald-7-train-multilingual.json	13	Weser, cities	Which cities does the Weser flow through?	no	c13_q0	2	1	Partial answer	1	0	6	1,0000	0,1429	13393,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	13	Weser, cities	Which cities does the Weser flow through?	no	c13_q1	2	1	Partial answer	1	0	6	1,0000	0,1429	13393,40
local_english_dbpedia_syn	qald-7-train-multilingual.json	13	Weser, cities	Which cities does the Weser flow through?	no	c13_q2	2	1	No answer	0	0	7	NaN	0,0000	13393,40
